# case 0080  h_peak=0.30 m  t_peak=960 min  alpha=4.0  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0001,0.015
43.0,0.0001,0.015
44.0,0.0001,0.015
45.0,0.0001,0.015
46.0,0.0001,0.015
47.0,0.0001,0.015
48.0,0.0001,0.015
49.0,0.0001,0.015
50.0,0.0001,0.015
51.0,0.0001,0.015
52.0,0.0001,0.015
53.0,0.0001,0.015
54.0,0.0001,0.015
55.0,0.0001,0.015
56.0,0.0002,0.0212
57.0,0.0002,0.0212
58.0,0.0002,0.0212
59.0,0.0002,0.0212
60.0,0.0002,0.0212
61.0,0.0002,0.0212
62.0,0.0002,0.0212
63.0,0.0002,0.0212
64.0,0.0002,0.0212
65.0,0.0003,0.026
66.0,0.0003,0.026
67.0,0.0003,0.026
68.0,0.0003,0.026
69.0,0.0003,0.026
70.0,0.0003,0.026
71.0,0.0004,0.03
72.0,0.0004,0.03
73.0,0.0004,0.03
74.0,0.0004,0.03
75.0,0.0004,0.03
76.0,0.0005,0.0335
77.0,0.0005,0.0335
78.0,0.0005,0.0335
79.0,0.0005,0.0335
80.0,0.0006,0.0367
81.0,0.0006,0.0367
82.0,0.0006,0.0367
83.0,0.0006,0.0367
84.0,0.0007,0.0397
85.0,0.0007,0.0397
86.0,0.0007,0.0397
87.0,0.0008,0.0424
88.0,0.0008,0.0424
89.0,0.0008,0.0424
90.0,0.0009,0.045
91.0,0.0009,0.045
92.0,0.0009,0.045
93.0,0.001,0.0474
94.0,0.001,0.0474
95.0,0.0011,0.0497
96.0,0.0011,0.0497
97.0,0.0011,0.0497
98.0,0.0012,0.052
99.0,0.0012,0.052
100.0,0.0013,0.0541
101.0,0.0013,0.0541
102.0,0.0014,0.0561
103.0,0.0014,0.0561
104.0,0.0015,0.0581
105.0,0.0015,0.0581
106.0,0.0016,0.06
107.0,0.0016,0.06
108.0,0.0017,0.0618
109.0,0.0017,0.0618
110.0,0.0018,0.0636
111.0,0.0018,0.0636
112.0,0.0019,0.0654
113.0,0.002,0.0671
114.0,0.002,0.0671
115.0,0.0021,0.0687
116.0,0.0022,0.0704
117.0,0.0022,0.0704
118.0,0.0023,0.0719
119.0,0.0024,0.0735
120.0,0.0024,0.0735
121.0,0.0025,0.075
122.0,0.0026,0.0765
123.0,0.0026,0.0765
124.0,0.0027,0.0779
125.0,0.0028,0.0794
126.0,0.0029,0.0808
127.0,0.003,0.0822
128.0,0.003,0.0822
129.0,0.0031,0.0835
130.0,0.0032,0.0849
131.0,0.0033,0.0862
132.0,0.0034,0.0875
133.0,0.0035,0.0887
134.0,0.0036,0.09
135.0,0.0036,0.09
136.0,0.0037,0.0912
137.0,0.0038,0.0925
138.0,0.0039,0.0937
139.0,0.004,0.0949
140.0,0.0041,0.096
141.0,0.0042,0.0972
142.0,0.0043,0.0984
143.0,0.0044,0.0995
144.0,0.0046,0.1017
145.0,0.0047,0.1028
146.0,0.0048,0.1039
147.0,0.0049,0.105
148.0,0.005,0.1061
149.0,0.0051,0.1071
150.0,0.0052,0.1082
151.0,0.0053,0.1092
152.0,0.0055,0.1112
153.0,0.0056,0.1122
154.0,0.0057,0.1132
155.0,0.0058,0.1142
156.0,0.006,0.1162
157.0,0.0061,0.1172
158.0,0.0062,0.1181
159.0,0.0064,0.12
160.0,0.0065,0.1209
161.0,0.0066,0.1219
162.0,0.0068,0.1237
163.0,0.0069,0.1246
164.0,0.007,0.1255
165.0,0.0072,0.1273
166.0,0.0073,0.1282
167.0,0.0075,0.1299
168.0,0.0076,0.1308
169.0,0.0078,0.1325
170.0,0.0079,0.1333
171.0,0.0081,0.135
172.0,0.0082,0.1358
173.0,0.0084,0.1375
174.0,0.0086,0.1391
175.0,0.0087,0.1399
176.0,0.0089,0.1415
177.0,0.0091,0.1431
178.0,0.0092,0.1439
179.0,0.0094,0.1454
180.0,0.0096,0.147
181.0,0.0097,0.1477
182.0,0.0099,0.1492
183.0,0.0101,0.1507
184.0,0.0103,0.1522
185.0,0.0105,0.1537
186.0,0.0106,0.1544
187.0,0.0108,0.1559
188.0,0.011,0.1573
189.0,0.0112,0.1587
190.0,0.0114,0.1602
191.0,0.0116,0.1616
192.0,0.0118,0.1629
193.0,0.012,0.1643
194.0,0.0122,0.1657
195.0,0.0124,0.167
196.0,0.0126,0.1684
197.0,0.0128,0.1697
198.0,0.013,0.171
199.0,0.0132,0.1723
200.0,0.0134,0.1736
201.0,0.0136,0.1749
202.0,0.0138,0.1762
203.0,0.0141,0.1781
204.0,0.0143,0.1794
205.0,0.0145,0.1806
206.0,0.0147,0.1819
207.0,0.0149,0.1831
208.0,0.0152,0.1849
209.0,0.0154,0.1861
210.0,0.0156,0.1873
211.0,0.0159,0.1891
212.0,0.0161,0.1903
213.0,0.0163,0.1915
214.0,0.0166,0.1933
215.0,0.0168,0.1944
216.0,0.0171,0.1962
217.0,0.0173,0.1973
218.0,0.0176,0.199
219.0,0.0178,0.2001
220.0,0.0181,0.2018
221.0,0.0183,0.2029
222.0,0.0186,0.2046
223.0,0.0188,0.2057
224.0,0.0191,0.2073
225.0,0.0194,0.2089
226.0,0.0196,0.21
227.0,0.0199,0.2116
228.0,0.0202,0.2132
229.0,0.0204,0.2142
230.0,0.0207,0.2158
231.0,0.021,0.2174
232.0,0.0212,0.2184
233.0,0.0215,0.2199
234.0,0.0218,0.2215
235.0,0.0221,0.223
236.0,0.0224,0.2245
237.0,0.0227,0.226
238.0,0.023,0.2275
239.0,0.0232,0.2285
240.0,0.0235,0.2299
241.0,0.0238,0.2314
242.0,0.0241,0.2329
243.0,0.0244,0.2343
244.0,0.0247,0.2357
245.0,0.025,0.2372
246.0,0.0253,0.2386
247.0,0.0256,0.24
248.0,0.026,0.2419
249.0,0.0263,0.2433
250.0,0.0266,0.2446
251.0,0.0269,0.246
252.0,0.0272,0.2474
253.0,0.0275,0.2487
254.0,0.0279,0.2505
255.0,0.0282,0.2519
256.0,0.0285,0.2532
257.0,0.0288,0.2546
258.0,0.0292,0.2563
259.0,0.0295,0.2576
260.0,0.0298,0.2589
261.0,0.0302,0.2607
262.0,0.0305,0.262
263.0,0.0308,0.2632
264.0,0.0312,0.265
265.0,0.0315,0.2662
266.0,0.0319,0.2679
267.0,0.0322,0.2692
268.0,0.0326,0.2708
269.0,0.0329,0.2721
270.0,0.0333,0.2737
271.0,0.0336,0.275
272.0,0.034,0.2766
273.0,0.0343,0.2778
274.0,0.0347,0.2794
275.0,0.0351,0.281
276.0,0.0354,0.2822
277.0,0.0358,0.2838
278.0,0.0362,0.2854
279.0,0.0365,0.2866
280.0,0.0369,0.2881
281.0,0.0373,0.2897
282.0,0.0377,0.2912
283.0,0.038,0.2924
284.0,0.0384,0.2939
285.0,0.0388,0.2955
286.0,0.0392,0.297
287.0,0.0396,0.2985
288.0,0.04,0.3
289.0,0.0403,0.3011
290.0,0.0407,0.3026
291.0,0.0411,0.3041
292.0,0.0415,0.3056
293.0,0.0419,0.307
294.0,0.0423,0.3085
295.0,0.0427,0.31
296.0,0.0431,0.3114
297.0,0.0435,0.3128
298.0,0.0439,0.3143
299.0,0.0443,0.3157
300.0,0.0448,0.3175
301.0,0.0452,0.3189
302.0,0.0456,0.3203
303.0,0.046,0.3217
304.0,0.0464,0.3231
305.0,0.0468,0.3245
306.0,0.0472,0.3259
307.0,0.0477,0.3276
308.0,0.0481,0.329
309.0,0.0485,0.3303
310.0,0.0489,0.3317
311.0,0.0494,0.3334
312.0,0.0498,0.3347
313.0,0.0502,0.3361
314.0,0.0507,0.3377
315.0,0.0511,0.3391
316.0,0.0515,0.3404
317.0,0.052,0.3421
318.0,0.0524,0.3434
319.0,0.0529,0.345
320.0,0.0533,0.3463
321.0,0.0537,0.3476
322.0,0.0542,0.3492
323.0,0.0546,0.3505
324.0,0.0551,0.3521
325.0,0.0555,0.3534
326.0,0.056,0.355
327.0,0.0565,0.3565
328.0,0.0569,0.3578
329.0,0.0574,0.3594
330.0,0.0578,0.3606
331.0,0.0583,0.3622
332.0,0.0587,0.3634
333.0,0.0592,0.365
334.0,0.0597,0.3665
