# case 0081  h_peak=0.60 m  t_peak=2880 min  alpha=4.0  rec_ratio=4.0
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
10.0,0.0,0.0
20.0,0.0,0.0
30.0,0.0,0.0
40.0,0.0,0.0
50.0,0.0,0.0
60.0,0.0,0.0
70.0,0.0,0.0
80.0,0.0,0.0
90.0,0.0,0.0
100.0,0.0,0.0
110.0,0.0001,0.01
120.0,0.0001,0.01
130.0,0.0001,0.01
140.0,0.0002,0.0141
150.0,0.0002,0.0141
160.0,0.0002,0.0141
170.0,0.0003,0.0173
180.0,0.0004,0.02
190.0,0.0005,0.0224
200.0,0.0006,0.0245
210.0,0.0007,0.0265
220.0,0.0008,0.0283
230.0,0.001,0.0316
240.0,0.0011,0.0332
250.0,0.0013,0.0361
260.0,0.0015,0.0387
270.0,0.0017,0.0412
280.0,0.002,0.0447
290.0,0.0023,0.048
300.0,0.0025,0.05
310.0,0.0029,0.0539
320.0,0.0032,0.0566
330.0,0.0036,0.06
340.0,0.004,0.0632
350.0,0.0044,0.0663
360.0,0.0049,0.07
370.0,0.0053,0.0728
380.0,0.0059,0.0768
390.0,0.0064,0.08
400.0,0.007,0.0837
410.0,0.0076,0.0872
420.0,0.0083,0.0911
430.0,0.009,0.0949
440.0,0.0097,0.0985
450.0,0.0105,0.1025
460.0,0.0113,0.1063
470.0,0.0121,0.11
480.0,0.013,0.114
490.0,0.0139,0.1179
500.0,0.0149,0.1221
510.0,0.0159,0.1261
520.0,0.0169,0.13
530.0,0.018,0.1342
540.0,0.0191,0.1382
550.0,0.0203,0.1425
560.0,0.0215,0.1466
570.0,0.0228,0.151
580.0,0.0241,0.1552
590.0,0.0254,0.1594
600.0,0.0268,0.1637
610.0,0.0283,0.1682
620.0,0.0297,0.1723
630.0,0.0313,0.1769
640.0,0.0328,0.1811
650.0,0.0345,0.1857
660.0,0.0361,0.19
670.0,0.0378,0.1944
680.0,0.0396,0.199
690.0,0.0414,0.2035
700.0,0.0432,0.2078
710.0,0.0451,0.2124
720.0,0.0471,0.217
730.0,0.0491,0.2216
740.0,0.0511,0.2261
750.0,0.0532,0.2307
760.0,0.0553,0.2352
770.0,0.0574,0.2396
780.0,0.0597,0.2443
790.0,0.0619,0.2488
800.0,0.0642,0.2534
810.0,0.0665,0.2579
820.0,0.0689,0.2625
830.0,0.0714,0.2672
