# case 0157  h_peak=0.90 m  t_peak=960 min  alpha=2.5  rec_ratio=1.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0001,0.015
9.0,0.0001,0.015
10.0,0.0001,0.015
11.0,0.0001,0.015
12.0,0.0002,0.0212
13.0,0.0002,0.0212
14.0,0.0003,0.026
15.0,0.0003,0.026
16.0,0.0004,0.03
17.0,0.0004,0.03
18.0,0.0005,0.0335
19.0,0.0006,0.0367
20.0,0.0007,0.0397
21.0,0.0007,0.0397
22.0,0.0008,0.0424
23.0,0.0009,0.045
24.0,0.001,0.0474
25.0,0.0011,0.0497
26.0,0.0012,0.052
27.0,0.0014,0.0561
28.0,0.0015,0.0581
29.0,0.0016,0.06
30.0,0.0018,0.0636
31.0,0.0019,0.0654
32.0,0.002,0.0671
33.0,0.0022,0.0704
34.0,0.0024,0.0735
35.0,0.0025,0.075
36.0,0.0027,0.0779
37.0,0.0029,0.0808
38.0,0.0031,0.0835
39.0,0.0033,0.0862
40.0,0.0035,0.0887
41.0,0.0037,0.0912
42.0,0.0039,0.0937
43.0,0.0042,0.0972
44.0,0.0044,0.0995
45.0,0.0046,0.1017
46.0,0.0049,0.105
47.0,0.0051,0.1071
48.0,0.0054,0.1102
49.0,0.0057,0.1132
50.0,0.006,0.1162
51.0,0.0062,0.1181
52.0,0.0065,0.1209
53.0,0.0068,0.1237
54.0,0.0071,0.1264
55.0,0.0075,0.1299
56.0,0.0078,0.1325
57.0,0.0081,0.135
58.0,0.0085,0.1383
59.0,0.0088,0.1407
60.0,0.0092,0.1439
61.0,0.0095,0.1462
62.0,0.0099,0.1492
63.0,0.0103,0.1522
64.0,0.0107,0.1552
65.0,0.011,0.1573
66.0,0.0114,0.1602
67.0,0.0118,0.1629
68.0,0.0123,0.1664
69.0,0.0127,0.169
70.0,0.0131,0.1717
71.0,0.0136,0.1749
72.0,0.014,0.1775
73.0,0.0145,0.1806
74.0,0.0149,0.1831
75.0,0.0154,0.1861
76.0,0.0159,0.1891
77.0,0.0163,0.1915
78.0,0.0168,0.1944
79.0,0.0173,0.1973
80.0,0.0178,0.2001
81.0,0.0184,0.2035
82.0,0.0189,0.2062
83.0,0.0194,0.2089
84.0,0.02,0.2121
85.0,0.0205,0.2148
86.0,0.0211,0.2179
87.0,0.0216,0.2205
88.0,0.0222,0.2235
89.0,0.0228,0.2265
90.0,0.0233,0.229
91.0,0.0239,0.2319
92.0,0.0245,0.2348
93.0,0.0251,0.2376
94.0,0.0258,0.2409
95.0,0.0264,0.2437
96.0,0.027,0.2465
97.0,0.0276,0.2492
98.0,0.0283,0.2523
99.0,0.0289,0.255
100.0,0.0296,0.2581
101.0,0.0303,0.2611
102.0,0.0309,0.2637
103.0,0.0316,0.2666
104.0,0.0323,0.2696
105.0,0.033,0.2725
106.0,0.0337,0.2754
107.0,0.0344,0.2782
108.0,0.0351,0.281
109.0,0.0359,0.2842
110.0,0.0366,0.287
111.0,0.0373,0.2897
112.0,0.0381,0.2928
113.0,0.0388,0.2955
114.0,0.0396,0.2985
115.0,0.0404,0.3015
116.0,0.0411,0.3041
117.0,0.0419,0.307
118.0,0.0427,0.31
119.0,0.0435,0.3128
120.0,0.0443,0.3157
121.0,0.0451,0.3186
122.0,0.0459,0.3214
123.0,0.0468,0.3245
124.0,0.0476,0.3273
125.0,0.0484,0.33
126.0,0.0493,0.3331
127.0,0.0501,0.3357
128.0,0.051,0.3387
129.0,0.0519,0.3417
130.0,0.0527,0.3443
131.0,0.0536,0.3473
132.0,0.0545,0.3502
133.0,0.0554,0.3531
134.0,0.0563,0.3559
135.0,0.0572,0.3587
136.0,0.0581,0.3616
137.0,0.059,0.3643
138.0,0.06,0.3674
139.0,0.0609,0.3702
140.0,0.0618,0.3729
141.0,0.0628,0.3759
142.0,0.0637,0.3786
143.0,0.0647,0.3815
144.0,0.0657,0.3845
145.0,0.0666,0.3871
146.0,0.0676,0.39
147.0,0.0686,0.3929
148.0,0.0696,0.3957
149.0,0.0706,0.3986
150.0,0.0716,0.4014
151.0,0.0726,0.4042
152.0,0.0736,0.4069
153.0,0.0746,0.4097
154.0,0.0757,0.4127
155.0,0.0767,0.4154
156.0,0.0777,0.4181
157.0,0.0788,0.4211
158.0,0.0798,0.4237
159.0,0.0809,0.4266
160.0,0.082,0.4295
161.0,0.083,0.4321
162.0,0.0841,0.435
163.0,0.0852,0.4378
164.0,0.0863,0.4407
165.0,0.0874,0.4435
166.0,0.0885,0.4462
167.0,0.0896,0.449
168.0,0.0907,0.4517
169.0,0.0918,0.4545
170.0,0.0929,0.4572
171.0,0.0941,0.4601
172.0,0.0952,0.4628
173.0,0.0963,0.4655
174.0,0.0975,0.4684
175.0,0.0986,0.471
176.0,0.0998,0.4739
177.0,0.1009,0.4765
178.0,0.1021,0.4793
179.0,0.1033,0.4821
180.0,0.1044,0.4847
181.0,0.1056,0.4874
182.0,0.1068,0.4902
183.0,0.108,0.493
184.0,0.1092,0.4957
185.0,0.1104,0.4984
186.0,0.1116,0.5011
187.0,0.1128,0.5038
188.0,0.114,0.5065
189.0,0.1153,0.5093
190.0,0.1165,0.512
191.0,0.1177,0.5146
192.0,0.119,0.5174
193.0,0.1202,0.52
194.0,0.1214,0.5226
195.0,0.1227,0.5254
196.0,0.124,0.5282
197.0,0.1252,0.5308
198.0,0.1265,0.5335
199.0,0.1278,0.5362
200.0,0.129,0.5387
201.0,0.1303,0.5415
202.0,0.1316,0.5442
203.0,0.1329,0.5468
204.0,0.1342,0.5495
205.0,0.1355,0.5522
206.0,0.1368,0.5548
207.0,0.1381,0.5574
208.0,0.1394,0.56
209.0,0.1407,0.5626
210.0,0.142,0.5652
211.0,0.1433,0.5678
212.0,0.1447,0.5706
213.0,0.146,0.5731
214.0,0.1473,0.5757
215.0,0.1487,0.5784
216.0,0.15,0.5809
217.0,0.1514,0.5837
218.0,0.1527,0.5862
219.0,0.1541,0.5888
220.0,0.1554,0.5913
221.0,0.1568,0.594
222.0,0.1582,0.5966
223.0,0.1595,0.5991
224.0,0.1609,0.6017
225.0,0.1623,0.6043
226.0,0.1637,0.6069
227.0,0.1651,0.6095
228.0,0.1664,0.6119
229.0,0.1678,0.6145
230.0,0.1692,0.617
231.0,0.1706,0.6196
232.0,0.172,0.6221
233.0,0.1734,0.6246
234.0,0.1749,0.6273
235.0,0.1763,0.6298
236.0,0.1777,0.6323
237.0,0.1791,0.6348
238.0,0.1805,0.6373
239.0,0.182,0.6399
240.0,0.1834,0.6424
241.0,0.1848,0.6448
242.0,0.1863,0.6474
243.0,0.1877,0.6499
244.0,0.1892,0.6525
245.0,0.1906,0.6549
246.0,0.1921,0.6574
247.0,0.1935,0.6598
248.0,0.195,0.6624
249.0,0.1964,0.6648
250.0,0.1979,0.6673
251.0,0.1993,0.6696
252.0,0.2008,0.6722
253.0,0.2023,0.6747
254.0,0.2038,0.6772
255.0,0.2052,0.6795
256.0,0.2067,0.682
257.0,0.2082,0.6844
258.0,0.2097,0.6869
259.0,0.2112,0.6893
260.0,0.2127,0.6918
261.0,0.2141,0.6941
262.0,0.2156,0.6965
263.0,0.2171,0.6989
264.0,0.2186,0.7013
265.0,0.2201,0.7037
266.0,0.2216,0.7061
267.0,0.2232,0.7087
268.0,0.2247,0.711
269.0,0.2262,0.7134
270.0,0.2277,0.7158
271.0,0.2292,0.7181
272.0,0.2307,0.7205
273.0,0.2322,0.7228
274.0,0.2338,0.7253
275.0,0.2353,0.7276
276.0,0.2368,0.7299
277.0,0.2384,0.7324
278.0,0.2399,0.7347
279.0,0.2414,0.737
280.0,0.243,0.7394
281.0,0.2445,0.7417
282.0,0.246,0.744
283.0,0.2476,0.7464
284.0,0.2491,0.7486
285.0,0.2507,0.751
286.0,0.2522,0.7533
287.0,0.2538,0.7557
288.0,0.2553,0.7579
289.0,0.2569,0.7603
290.0,0.2584,0.7625
291.0,0.26,0.7649
292.0,0.2615,0.7671
293.0,0.2631,0.7694
294.0,0.2646,0.7716
295.0,0.2662,0.7739
296.0,0.2678,0.7762
297.0,0.2693,0.7784
298.0,0.2709,0.7807
299.0,0.2725,0.783
300.0,0.274,0.7852
301.0,0.2756,0.7875
302.0,0.2772,0.7897
303.0,0.2788,0.792
304.0,0.2803,0.7942
305.0,0.2819,0.7964
306.0,0.2835,0.7987
307.0,0.2851,0.8009
308.0,0.2866,0.803
309.0,0.2882,0.8053
310.0,0.2898,0.8075
311.0,0.2914,0.8097
312.0,0.293,0.8119
313.0,0.2946,0.8142
314.0,0.2961,0.8162
315.0,0.2977,0.8184
316.0,0.2993,0.8206
317.0,0.3009,0.8228
318.0,0.3025,0.825
319.0,0.3041,0.8272
320.0,0.3057,0.8294
321.0,0.3073,0.8315
322.0,0.3089,0.8337
323.0,0.3105,0.8358
324.0,0.3121,0.838
325.0,0.3136,0.84
326.0,0.3152,0.8421
327.0,0.3168,0.8443
328.0,0.3184,0.8464
