# Example fragility-format ingress file for Monte Carlo runs.
# Run with:
# python3 main.py \
#   --external example_run/example_external_levels.csv \
#   --ingress example_run/example_fragility_ingress_paths.csv \
#   --membrane-file example_run/example_fragility_membrane.csv \
#   --ingress-format fragility \
#   --n-replicates 100 \
#   --random-seed 42 \
#   --outdir example_run/fragility_example_output
#
# name, height_m, area_m2, Cd, group_id[, state_name_1, median_m_1, beta_ln_1, area_m2_1, Cd_1, ...]
#
# Ungrouped deterministic path
wall_crack,      0.00, 5.0e-4, 0.60, 0
#
# Ungrouped probabilistic paths
# Flood door: certified leakage in base state, then reverts toward an unprotected opening
flood_door,      0.02, 4.0e-7, 0.60, 0, baseline,   0.70, 0.35, 2.5e-2, 0.60
# Garage door: first leaks moderately, then becomes effectively unprotected at higher depth
garage_door,     0.00, 8.0e-7, 0.60, 0, leakage,    0.35, 0.25, 5.0e-3, 0.60, overtopped, 0.80, 0.20, 5.0e-2, 0.60
#
# Membrane-protected paths in group 1 (must not define fragility columns)
airbrick_front,  0.10, 8.0e-3, 0.60, 1
airbrick_rear,   0.10, 8.0e-3, 0.60, 1
service_pen,     0.05, 3.0e-3, 0.65, 1
