# Synthetic flood velocity hydrograph — case 054
# type=short  V_peak=0.439 m/s  lead_ratio=0.026  alpha_v=2.631  recession_ratio_v=2.317
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0008
30.0,0.0048
45.0,0.0126
60.0,0.0245
75.0,0.0402
90.0,0.0592
105.0,0.0809
120.0,0.1047
135.0,0.1301
150.0,0.1564
165.0,0.183
180.0,0.2097
195.0,0.2358
210.0,0.2611
225.0,0.2852
240.0,0.3079
255.0,0.329
270.0,0.3484
285.0,0.366
300.0,0.3816
315.0,0.3953
330.0,0.407
345.0,0.4168
360.0,0.4247
375.0,0.4308
390.0,0.4352
405.0,0.4378
420.0,0.439
435.0,0.4163
450.0,0.388
465.0,0.3617
480.0,0.3371
495.0,0.3142
510.0,0.2928
525.0,0.2729
540.0,0.2544
555.0,0.2371
570.0,0.221
585.0,0.206
600.0,0.192
615.0,0.1789
630.0,0.1668
645.0,0.1554
660.0,0.1449
675.0,0.135
690.0,0.1259
705.0,0.1173
720.0,0.1093
735.0,0.1019
750.0,0.095
765.0,0.0885
780.0,0.0825
795.0,0.0769
810.0,0.0717
825.0,0.0668
840.0,0.0623
855.0,0.058
870.0,0.0541
885.0,0.0504
900.0,0.047
915.0,0.0438
930.0,0.0408
945.0,0.0381
960.0,0.0355
975.0,0.0331
990.0,0.0308
1005.0,0.0287
1020.0,0.0268
1035.0,0.0249
1050.0,0.0233
1065.0,0.0217
1080.0,0.0202
1095.0,0.0188
1110.0,0.0175
1125.0,0.0164
1140.0,0.0152
1155.0,0.0142
1170.0,0.0132
1185.0,0.0123
1200.0,0.0115
1215.0,0.0107
1230.0,0.01
1245.0,0.0093
1260.0,0.0087
1275.0,0.0081
1290.0,0.0075
1305.0,0.007
1320.0,0.0066
1335.0,0.0061
1350.0,0.0057
1365.0,0.0053
1380.0,0.0049
1395.0,0.0046
1410.0,0.0043
1425.0,0.004
1440.0,0.0037
1455.0,0.0035
1470.0,0.0032
1485.0,0.003
1500.0,0.0028
1515.0,0.0026
1530.0,0.0024
1545.0,0.0023
1560.0,0.0021
1575.0,0.002
1590.0,0.0018
1605.0,0.0017
1620.0,0.0016
1635.0,0.0015
1650.0,0.0014
1665.0,0.0013
1680.0,0.0012
1695.0,0.0011
1710.0,0.0011
1725.0,0.001
1740.0,0.0009
1815.0,0.0006
