# Synthetic flood velocity hydrograph — case 025
# type=prolonged  V_peak=0.602 m/s  lead_ratio=0.197  alpha_v=2.704  recession_ratio_v=2.113
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0006
120.0,0.0035
180.0,0.0096
240.0,0.0193
300.0,0.0327
360.0,0.0495
420.0,0.0695
480.0,0.0922
540.0,0.1172
600.0,0.1441
660.0,0.1724
720.0,0.2017
780.0,0.2316
840.0,0.2616
900.0,0.2915
960.0,0.321
1020.0,0.3497
1080.0,0.3774
1140.0,0.4039
1200.0,0.429
1260.0,0.4526
1320.0,0.4746
1380.0,0.4949
1440.0,0.5135
1500.0,0.5302
1560.0,0.5451
1620.0,0.5582
1680.0,0.5695
1740.0,0.579
1800.0,0.5868
1860.0,0.5929
1920.0,0.5974
1980.0,0.6004
2040.0,0.6018
2100.0,0.5844
2160.0,0.5486
2220.0,0.5151
2280.0,0.4836
2340.0,0.454
2400.0,0.4262
2460.0,0.4001
2520.0,0.3757
2580.0,0.3527
2640.0,0.3311
2700.0,0.3109
2760.0,0.2918
2820.0,0.274
2880.0,0.2572
2940.0,0.2415
3000.0,0.2267
3060.0,0.2129
3120.0,0.1998
3180.0,0.1876
3240.0,0.1761
3300.0,0.1654
3360.0,0.1552
3420.0,0.1458
3480.0,0.1368
3540.0,0.1285
3600.0,0.1206
3660.0,0.1132
3720.0,0.1063
3780.0,0.0998
3840.0,0.0937
3900.0,0.088
3960.0,0.0826
4020.0,0.0775
4080.0,0.0728
4140.0,0.0683
4200.0,0.0642
4260.0,0.0602
4320.0,0.0565
4380.0,0.0531
4440.0,0.0498
4500.0,0.0468
4560.0,0.0439
4620.0,0.0412
4680.0,0.0387
4740.0,0.0364
4800.0,0.0341
4860.0,0.032
4920.0,0.0301
4980.0,0.0282
5040.0,0.0265
5100.0,0.0249
5160.0,0.0234
5220.0,0.0219
5280.0,0.0206
5340.0,0.0193
5400.0,0.0182
5460.0,0.017
5520.0,0.016
5580.0,0.015
5640.0,0.0141
5700.0,0.0132
5760.0,0.0124
5820.0,0.0117
5880.0,0.011
5940.0,0.0103
6000.0,0.0097
6060.0,0.0091
6120.0,0.0085
6180.0,0.008
6240.0,0.0075
6300.0,0.007
6360.0,0.0066
6420.0,0.0062
6480.0,0.0058
6540.0,0.0055
6600.0,0.0051
6660.0,0.0048
6720.0,0.0045
6780.0,0.0043
6840.0,0.004
6900.0,0.0037
6960.0,0.0035
7020.0,0.0033
7080.0,0.0031
7140.0,0.0029
7200.0,0.0027
7260.0,0.0026
7320.0,0.0024
7380.0,0.0023
7440.0,0.0021
7500.0,0.002
7560.0,0.0019
7620.0,0.0018
7680.0,0.0016
7740.0,0.0015
7800.0,0.0015
7860.0,0.0014
7920.0,0.0013
7980.0,0.0012
8040.0,0.0011
8100.0,0.0011
8160.0,0.001
8220.0,0.0009
8280.0,0.0009
8340.0,0.0008
8400.0,0.0008
8460.0,0.0007
8520.0,0.0007
8580.0,0.0006
8640.0,0.0006
8700.0,0.0006
8760.0,0.0005
8820.0,0.0005
8880.0,0.0005
8940.0,0.0004
9000.0,0.0004
9060.0,0.0004
9120.0,0.0004
9180.0,0.0003
9240.0,0.0003
9300.0,0.0003
9360.0,0.0003
9420.0,0.0003
9480.0,0.0002
9540.0,0.0002
9600.0,0.0002
9660.0,0.0002
9960.0,0.0001
