# Synthetic flood velocity hydrograph — case 094
# type=flash  V_peak=0.196 m/s  lead_ratio=0.141  alpha_v=3.066  recession_ratio_v=1.324
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0007
10.0,0.0046
15.0,0.0133
20.0,0.0266
25.0,0.0437
30.0,0.0634
35.0,0.0842
40.0,0.1051
45.0,0.125
50.0,0.1431
55.0,0.1589
60.0,0.1719
65.0,0.1821
70.0,0.1894
75.0,0.1939
80.0,0.1959
85.0,0.1696
90.0,0.137
95.0,0.1107
100.0,0.0895
105.0,0.0723
110.0,0.0584
115.0,0.0472
120.0,0.0382
125.0,0.0308
130.0,0.0249
135.0,0.0201
140.0,0.0163
145.0,0.0131
150.0,0.0106
155.0,0.0086
160.0,0.0069
165.0,0.0056
170.0,0.0045
175.0,0.0037
180.0,0.003
185.0,0.0024
190.0,0.0019
195.0,0.0016
200.0,0.0013
205.0,0.001
210.0,0.0008
215.0,0.0007
220.0,0.0005
225.0,0.0004
230.0,0.0004
235.0,0.0003
240.0,0.0002
245.0,0.0002
250.0,0.0001
275.0,0.0001
