# Synthetic flood velocity hydrograph — case 044
# type=short  V_peak=0.477 m/s  lead_ratio=0.015  alpha_v=2.153  recession_ratio_v=1.629
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0049
30.0,0.0199
45.0,0.0432
60.0,0.0726
75.0,0.1063
90.0,0.1425
105.0,0.1798
120.0,0.2171
135.0,0.2533
150.0,0.2877
165.0,0.3198
180.0,0.3493
195.0,0.3757
210.0,0.399
225.0,0.4191
240.0,0.4361
255.0,0.4499
270.0,0.4607
285.0,0.4686
300.0,0.4738
315.0,0.4765
330.0,0.4569
345.0,0.401
360.0,0.352
375.0,0.3089
390.0,0.2711
405.0,0.238
420.0,0.2089
435.0,0.1833
450.0,0.1609
465.0,0.1412
480.0,0.124
495.0,0.1088
510.0,0.0955
525.0,0.0838
540.0,0.0736
555.0,0.0646
570.0,0.0567
585.0,0.0497
600.0,0.0437
615.0,0.0383
630.0,0.0336
645.0,0.0295
660.0,0.0259
675.0,0.0227
690.0,0.02
705.0,0.0175
720.0,0.0154
735.0,0.0135
750.0,0.0118
765.0,0.0104
780.0,0.0091
795.0,0.008
810.0,0.007
825.0,0.0062
840.0,0.0054
855.0,0.0048
870.0,0.0042
885.0,0.0037
900.0,0.0032
915.0,0.0028
990.0,0.0015
