# Synthetic flood velocity hydrograph — case 100
# type=prolonged  V_peak=0.821 m/s  lead_ratio=0.075  alpha_v=1.535  recession_ratio_v=5.684
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0058
120.0,0.0164
180.0,0.0299
240.0,0.0454
300.0,0.0626
360.0,0.0809
420.0,0.1002
480.0,0.1202
540.0,0.1408
600.0,0.1618
660.0,0.1831
720.0,0.2046
780.0,0.2261
840.0,0.2477
900.0,0.2691
960.0,0.2905
1020.0,0.3116
1080.0,0.3326
1140.0,0.3532
1200.0,0.3736
1260.0,0.3936
1320.0,0.4132
1380.0,0.4325
1440.0,0.4513
1500.0,0.4697
1560.0,0.4876
1620.0,0.5051
1680.0,0.5221
1740.0,0.5386
1800.0,0.5546
1860.0,0.5701
1920.0,0.5851
1980.0,0.5996
2040.0,0.6136
2100.0,0.6271
2160.0,0.6401
2220.0,0.6526
2280.0,0.6646
2340.0,0.6761
2400.0,0.6871
2460.0,0.6976
2520.0,0.7076
2580.0,0.7172
2640.0,0.7262
2700.0,0.7348
2760.0,0.7429
2820.0,0.7506
2880.0,0.7578
2940.0,0.7646
3000.0,0.771
3060.0,0.7769
3120.0,0.7824
3180.0,0.7875
3240.0,0.7923
3300.0,0.7966
3360.0,0.8005
3420.0,0.8041
3480.0,0.8073
3540.0,0.8101
3600.0,0.8126
3660.0,0.8147
3720.0,0.8165
3780.0,0.818
3840.0,0.8192
3900.0,0.8201
3960.0,0.8207
4020.0,0.821
4080.0,0.8163
4140.0,0.8066
4200.0,0.797
4260.0,0.7875
4320.0,0.7781
4380.0,0.7688
4440.0,0.7596
4500.0,0.7506
4560.0,0.7416
4620.0,0.7328
4680.0,0.724
4740.0,0.7154
4800.0,0.7069
4860.0,0.6984
4920.0,0.6901
4980.0,0.6819
5040.0,0.6737
5100.0,0.6657
5160.0,0.6578
5220.0,0.6499
5280.0,0.6422
5340.0,0.6345
5400.0,0.6269
5460.0,0.6195
5520.0,0.6121
5580.0,0.6048
5640.0,0.5976
5700.0,0.5904
5760.0,0.5834
5820.0,0.5764
5880.0,0.5696
5940.0,0.5628
6000.0,0.5561
6060.0,0.5494
6120.0,0.5429
6180.0,0.5364
6240.0,0.53
6300.0,0.5237
6360.0,0.5174
