# Synthetic flood velocity hydrograph — case 049
# type=flash  V_peak=0.716 m/s  lead_ratio=0.055  alpha_v=1.378  recession_ratio_v=1.564
# time (min), velocity (m/s)
0.0,0.0
5.0,0.1111
10.0,0.2497
15.0,0.3773
20.0,0.4848
25.0,0.5699
30.0,0.6332
35.0,0.6768
40.0,0.7032
45.0,0.7148
50.0,0.6032
55.0,0.4417
60.0,0.3235
65.0,0.2369
70.0,0.1735
75.0,0.127
80.0,0.093
85.0,0.0681
90.0,0.0499
95.0,0.0365
100.0,0.0267
105.0,0.0196
110.0,0.0143
115.0,0.0105
120.0,0.0077
125.0,0.0056
130.0,0.0041
135.0,0.003
140.0,0.0022
145.0,0.0016
150.0,0.0012
175.0,0.0002
