# Synthetic flood velocity hydrograph — case 010
# type=short  V_peak=0.472 m/s  lead_ratio=0.146  alpha_v=1.663  recession_ratio_v=3.000
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0142
30.0,0.0415
45.0,0.0754
60.0,0.1125
75.0,0.1509
90.0,0.189
105.0,0.2259
120.0,0.261
135.0,0.2937
150.0,0.3237
165.0,0.3508
180.0,0.3751
195.0,0.3964
210.0,0.4148
225.0,0.4303
240.0,0.4432
255.0,0.4535
270.0,0.4613
285.0,0.4669
300.0,0.4704
315.0,0.4719
330.0,0.4504
345.0,0.4192
360.0,0.3901
375.0,0.3631
390.0,0.3379
405.0,0.3144
420.0,0.2926
435.0,0.2723
450.0,0.2534
465.0,0.2358
480.0,0.2195
495.0,0.2043
510.0,0.1901
525.0,0.1769
540.0,0.1646
555.0,0.1532
570.0,0.1426
585.0,0.1327
600.0,0.1235
615.0,0.1149
630.0,0.1069
645.0,0.0995
660.0,0.0926
675.0,0.0862
690.0,0.0802
705.0,0.0746
720.0,0.0695
735.0,0.0646
750.0,0.0602
765.0,0.056
780.0,0.0521
795.0,0.0485
810.0,0.0451
825.0,0.042
840.0,0.0391
855.0,0.0364
870.0,0.0338
885.0,0.0315
900.0,0.0293
915.0,0.0273
930.0,0.0254
945.0,0.0236
960.0,0.022
975.0,0.0205
990.0,0.019
1005.0,0.0177
1020.0,0.0165
1035.0,0.0153
1050.0,0.0143
1065.0,0.0133
1080.0,0.0124
1095.0,0.0115
1110.0,0.0107
1125.0,0.01
1140.0,0.0093
1155.0,0.0086
1170.0,0.008
1185.0,0.0075
1200.0,0.007
1215.0,0.0065
1230.0,0.006
1245.0,0.0056
1260.0,0.0052
1275.0,0.0049
1290.0,0.0045
1305.0,0.0042
1320.0,0.0039
1335.0,0.0036
1350.0,0.0034
1365.0,0.0032
1380.0,0.0029
1395.0,0.0027
1410.0,0.0025
1425.0,0.0024
1440.0,0.0022
1455.0,0.002
1470.0,0.0019
1485.0,0.0018
1500.0,0.0017
1515.0,0.0015
1530.0,0.0014
1545.0,0.0013
1560.0,0.0012
1575.0,0.0012
1590.0,0.0011
1605.0,0.001
1620.0,0.0009
1635.0,0.0009
1650.0,0.0008
1665.0,0.0007
1680.0,0.0007
1755.0,0.0005
