# Synthetic flood velocity hydrograph — case 096
# type=flash  V_peak=0.281 m/s  lead_ratio=0.082  alpha_v=2.706  recession_ratio_v=1.338
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0003
10.0,0.0018
15.0,0.005
20.0,0.01
25.0,0.0169
30.0,0.0254
35.0,0.0356
40.0,0.047
45.0,0.0596
50.0,0.073
55.0,0.0871
60.0,0.1015
65.0,0.1162
70.0,0.1308
75.0,0.1453
80.0,0.1594
85.0,0.173
90.0,0.1861
95.0,0.1985
100.0,0.2101
105.0,0.2209
110.0,0.2309
115.0,0.2399
120.0,0.248
125.0,0.2552
130.0,0.2615
135.0,0.2668
140.0,0.2713
145.0,0.2749
150.0,0.2776
155.0,0.2795
160.0,0.2806
165.0,0.281
170.0,0.2545
175.0,0.2293
180.0,0.2066
185.0,0.1862
190.0,0.1678
195.0,0.1512
200.0,0.1362
205.0,0.1228
210.0,0.1106
215.0,0.0997
220.0,0.0898
225.0,0.0809
230.0,0.0729
235.0,0.0657
240.0,0.0592
245.0,0.0534
250.0,0.0481
255.0,0.0433
260.0,0.039
265.0,0.0352
270.0,0.0317
275.0,0.0286
280.0,0.0257
285.0,0.0232
290.0,0.0209
295.0,0.0188
300.0,0.017
305.0,0.0153
310.0,0.0138
315.0,0.0124
320.0,0.0112
325.0,0.0101
330.0,0.0091
335.0,0.0082
340.0,0.0074
345.0,0.0066
350.0,0.006
355.0,0.0054
360.0,0.0049
365.0,0.0044
370.0,0.0039
375.0,0.0036
380.0,0.0032
385.0,0.0029
390.0,0.0026
395.0,0.0023
400.0,0.0021
405.0,0.0019
410.0,0.0017
415.0,0.0015
420.0,0.0014
425.0,0.0013
430.0,0.0011
435.0,0.001
440.0,0.0009
445.0,0.0008
450.0,0.0007
455.0,0.0007
460.0,0.0006
465.0,0.0005
470.0,0.0005
475.0,0.0004
480.0,0.0004
485.0,0.0004
510.0,0.0002
