# Synthetic flood velocity hydrograph — case 095
# type=flash  V_peak=0.596 m/s  lead_ratio=0.100  alpha_v=2.557  recession_ratio_v=2.131
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0029
10.0,0.0152
15.0,0.038
20.0,0.0701
25.0,0.1096
30.0,0.1544
35.0,0.2024
40.0,0.2517
45.0,0.3006
50.0,0.3478
55.0,0.3922
60.0,0.433
65.0,0.4696
70.0,0.5016
75.0,0.5289
80.0,0.5513
85.0,0.5689
90.0,0.582
95.0,0.5906
100.0,0.5951
105.0,0.5776
110.0,0.5204
115.0,0.4688
120.0,0.4223
125.0,0.3804
130.0,0.3427
135.0,0.3088
140.0,0.2781
145.0,0.2506
150.0,0.2257
155.0,0.2034
160.0,0.1832
165.0,0.165
170.0,0.1487
175.0,0.1339
180.0,0.1207
185.0,0.1087
190.0,0.0979
195.0,0.0882
200.0,0.0795
205.0,0.0716
210.0,0.0645
215.0,0.0581
220.0,0.0523
225.0,0.0472
230.0,0.0425
235.0,0.0383
240.0,0.0345
245.0,0.0311
250.0,0.028
255.0,0.0252
260.0,0.0227
265.0,0.0205
270.0,0.0184
275.0,0.0166
280.0,0.015
285.0,0.0135
290.0,0.0121
295.0,0.0109
300.0,0.0098
305.0,0.0089
310.0,0.008
315.0,0.0072
320.0,0.0065
325.0,0.0058
330.0,0.0053
335.0,0.0047
340.0,0.0043
345.0,0.0038
350.0,0.0035
355.0,0.0031
380.0,0.0019
