# Synthetic flood velocity hydrograph — case 078
# type=short  V_peak=0.656 m/s  lead_ratio=0.091  alpha_v=2.781  recession_ratio_v=2.436
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0003
30.0,0.002
45.0,0.0057
60.0,0.0119
75.0,0.0207
90.0,0.0321
105.0,0.0461
120.0,0.0625
135.0,0.0812
150.0,0.1018
165.0,0.1242
180.0,0.148
195.0,0.173
210.0,0.199
225.0,0.2255
240.0,0.2525
255.0,0.2797
270.0,0.3067
285.0,0.3336
300.0,0.36
315.0,0.3857
330.0,0.4108
345.0,0.4349
360.0,0.4581
375.0,0.4801
390.0,0.501
405.0,0.5206
420.0,0.539
435.0,0.556
450.0,0.5716
465.0,0.5859
480.0,0.5988
495.0,0.6104
510.0,0.6205
525.0,0.6293
540.0,0.6368
555.0,0.643
570.0,0.648
585.0,0.6517
600.0,0.6542
615.0,0.6556
630.0,0.6505
645.0,0.6218
660.0,0.5943
675.0,0.568
690.0,0.5429
705.0,0.5189
720.0,0.496
735.0,0.474
750.0,0.4531
765.0,0.433
780.0,0.4139
795.0,0.3956
810.0,0.3781
825.0,0.3614
840.0,0.3454
855.0,0.3302
870.0,0.3156
885.0,0.3016
900.0,0.2883
915.0,0.2755
930.0,0.2634
945.0,0.2517
960.0,0.2406
975.0,0.23
990.0,0.2198
1005.0,0.2101
1020.0,0.2008
1035.0,0.1919
1050.0,0.1834
1065.0,0.1753
1080.0,0.1676
1095.0,0.1602
1110.0,0.1531
1125.0,0.1463
1140.0,0.1398
1155.0,0.1337
1170.0,0.1278
1185.0,0.1221
1200.0,0.1167
1215.0,0.1116
1230.0,0.1066
1245.0,0.1019
1260.0,0.0974
1275.0,0.0931
1290.0,0.089
1305.0,0.0851
1320.0,0.0813
1335.0,0.0777
1350.0,0.0743
1365.0,0.071
1380.0,0.0678
1395.0,0.0648
1410.0,0.062
1425.0,0.0592
1440.0,0.0566
1455.0,0.0541
1470.0,0.0517
1485.0,0.0494
1500.0,0.0473
1515.0,0.0452
1530.0,0.0432
1545.0,0.0413
1560.0,0.0394
1575.0,0.0377
1590.0,0.036
1605.0,0.0344
1620.0,0.0329
1635.0,0.0315
1650.0,0.0301
1665.0,0.0287
1680.0,0.0275
1695.0,0.0263
1710.0,0.0251
1725.0,0.024
1740.0,0.0229
1755.0,0.0219
1770.0,0.0209
1785.0,0.02
1800.0,0.0191
1815.0,0.0183
1830.0,0.0175
1845.0,0.0167
1860.0,0.016
1875.0,0.0153
1890.0,0.0146
1905.0,0.0139
1920.0,0.0133
1935.0,0.0127
1950.0,0.0122
1965.0,0.0116
1980.0,0.0111
1995.0,0.0106
2010.0,0.0102
2025.0,0.0097
2040.0,0.0093
2055.0,0.0089
2070.0,0.0085
2085.0,0.0081
2100.0,0.0077
2115.0,0.0074
2130.0,0.0071
2145.0,0.0068
2160.0,0.0065
2175.0,0.0062
2190.0,0.0059
2265.0,0.0047
