# Synthetic flood velocity hydrograph — case 060
# type=short  V_peak=1.143 m/s  lead_ratio=0.079  alpha_v=2.845  recession_ratio_v=1.288
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0049
30.0,0.0297
45.0,0.08
60.0,0.1541
75.0,0.247
90.0,0.3527
105.0,0.4648
120.0,0.5777
135.0,0.6864
150.0,0.7873
165.0,0.8776
180.0,0.9555
195.0,1.0198
210.0,1.0702
225.0,1.1069
240.0,1.1304
255.0,1.1417
270.0,1.0318
285.0,0.8411
300.0,0.6857
315.0,0.559
330.0,0.4557
345.0,0.3715
360.0,0.3028
375.0,0.2469
390.0,0.2012
405.0,0.164
420.0,0.1337
435.0,0.109
450.0,0.0889
465.0,0.0724
480.0,0.0591
495.0,0.0481
510.0,0.0392
525.0,0.032
540.0,0.0261
555.0,0.0213
570.0,0.0173
585.0,0.0141
600.0,0.0115
615.0,0.0094
630.0,0.0077
645.0,0.0062
660.0,0.0051
675.0,0.0041
690.0,0.0034
705.0,0.0028
720.0,0.0022
735.0,0.0018
750.0,0.0015
765.0,0.0012
780.0,0.001
795.0,0.0008
870.0,0.0003
